2021-08-10 17:21:36   INFO [NegativeRegistrationTests:32  ] : Get chromeDriver
2021-08-10 17:21:36   INFO [NegativeRegistrationTests:35  ] : browser was opened
2021-08-10 17:22:31   INFO [NegativeRegistrationTests:32  ] : Get chromeDriver
2021-08-10 17:22:31   INFO [NegativeRegistrationTests:35  ] : browser was opened
2021-08-10 17:25:14   INFO [NegativeRegistrationTests:32  ] : Get chromeDriver
2021-08-10 17:25:14   INFO [NegativeRegistrationTests:35  ] : browser was opened
2021-08-10 17:30:38   INFO [NegativeRegistrationTests:32  ] : Get chromeDriver
2021-08-10 17:30:39   INFO [NegativeRegistrationTests:35  ] : browser was opened
2021-08-10 17:32:47   INFO [NegativeRegistrationTests:32  ] : Get chromeDriver
2021-08-10 17:32:47   INFO [NegativeRegistrationTests:35  ] : browser was opened
2021-08-10 17:36:01   INFO [    TestsR:40  ] : Get chromeDriver
2021-08-10 17:36:01   INFO [    TestsR:43  ] : browser was opened
2021-08-10 17:36:41   INFO [    TestsR:40  ] : Get chromeDriver
2021-08-10 17:36:41   INFO [    TestsR:43  ] : browser was opened
2021-08-10 17:36:45   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 17:36:45   INFO [    TestsR:54  ] : Link was opened
2021-08-10 17:37:26   INFO [    TestsR:40  ] : Get chromeDriver
2021-08-10 17:37:26   INFO [    TestsR:43  ] : browser was opened
2021-08-10 17:37:30   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 17:37:30   INFO [    TestsR:54  ] : Link was opened
2021-08-10 17:37:30   INFO [    TestsR:56  ] : registration window was opened
2021-08-10 17:40:35   INFO [    TestsR:40  ] : Get chromeDriver
2021-08-10 17:40:35   INFO [    TestsR:43  ] : browser was opened
2021-08-10 17:41:42   INFO [    TestsR:40  ] : Get chromeDriver
2021-08-10 17:41:42   INFO [    TestsR:43  ] : browser was opened
2021-08-10 17:41:46   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
